rpm,N,ht,Cx,eta,ok,D,L,DF,dH,M,h
50000,6,0.45,170,0.8213652721991304,False,105.00000919944951,165.79728006146652,0.631364404470261,0.6633643664432933,0.9093806287272621,9.750547979226143
50000,6,0.45,185,0.8177086166972803,False,101.9736316572246,160.2046198299989,0.5804383438887464,0.6939163295906522,0.9302032891489065,9.38616732308975
50000,6,0.45,200,0.8128258986082827,False,99.45591868652745,155.47954130194032,0.5353784084005422,0.7209689547594452,0.9554569683023488,9.07337764442119
50000,6,0.5,150,0.8322035689952553,False,113.31400173813738,163.92162979246785,0.6600366395553294,0.6219724228603803,0.886166207698652,9.658149982841715
50000,6,0.5,170,0.8210500173695693,False,108.11101840130539,155.47403445054996,0.6210171087066756,0.663826480538163,0.9068333287379826,9.14341430146387
50000,6,0.5,185,0.8115001917504511,False,104.97212440858867,150.3404144675937,0.5931130849695729,0.6921107138361831,0.9285342051103711,8.82646403419067
50000,6,0.5,200,0.8049518353357801,False,102.36075904725266,145.89536730198063,0.5548691876733822,0.7183058003412918,0.9539046579046343,8.537900230608964
50000,6,0.55,150,0.8318699429898793,False,117.36769923017222,153.36547529863935,0.6341265175393245,0.6276260724160786,0.8861697554688597,9.032132138678719
50000,6,0.55,170,0.8220202841470144,False,111.94540935221386,145.28027894957407,0.5979465884238218,0.6667888963814835,0.9056349368983054,8.537920372575448
50000,6,0.55,185,0.8132865525314612,False,108.67216682403125,140.371773694713,0.5715086669063288,0.6937944189499408,0.9266089211923664,8.234684459166377
50000,6,0.55,200,0.8037697609842451,False,105.94760827629482,136.22998676051162,0.5463353378805336,0.7184010594184771,0.9521179895593748,7.974695560137176
50000,7,0.3,150,0.8355652623145693,False,103.35076317024286,240.6292149391938,0.6383169888237443,0.6493643152510752,0.8742605185035094,12.087381568824703
50000,7,0.3,170,0.8305541463763071,False,98.696060749138,228.34759313725073,0.562059385890312,0.6958344735407567,0.8942965405444772,11.420247719342246
50000,7,0.3,185,0.8251036339294749,False,95.89054209809017,220.8606072013173,0.5133643218181592,0.7254608989608969,0.9154748947940154,11.008325749069883
50000,7,0.3,200,0.8185363147041018,True,93.5598204566772,214.54361511755818,0.4710345524261511,0.7511174900415958,0.9411334995166031,10.655680041780338
50000,7,0.35,150,0.8289874999374995,False,105.13231754564795,227.77601231527592,0.6567159174706723,0.6470969312879943,0.8710374069311425,11.46604260950368
50000,7,0.35,170,0.8246923738100047,False,100.36765681314489,215.98817099439356,0.5799128642952232,0.6929247651627942,0.8908549617096396,10.824338049503307
50000,7,0.35,185,0.8197067193544061,False,97.49389567585226,208.8093378414979,0.5304996748872959,0.7223896789914147,0.9119429308605721,10.429462917617997
50000,7,0.35,200,0.8134953188905225,True,95.10427609049046,202.72966626501608,0.48728958717102366,0.7481320909644739,0.9374441473057662,10.089175158190494
50000,7,0.4,150,0.8309142099240392,False,107.34422356953873,214.87872159109267,0.6397342499425078,0.6483373852412524,0.8672311988594836,10.809266805250934
50000,7,0.4,170,0.8176178917769119,False,102.44924677106063,204.01438147223791,0.5980171291975778,0.6907438451658476,0.8884467920895387,10.248471804053569
50000,7,0.4,185,0.8130882136826453,False,99.49655832170937,197.12142201424558,0.5480327129580679,0.7199379644712575,0.9092823508979951,9.867843413394459
50000,7,0.4,200,0.8073062672353918,False,97.03987465237472,191.29820355645413,0.504119702748496,0.7455429938233282,0.9346421171121579,9.542001423087157
50000,7,0.45,150,0.8321622745286674,False,110.06177960599582,202.3375091902692,0.61862518028226,0.6513151828153655,0.8647650579959606,10.172171093331933
50000,7,0.45,170,0.8197102206288129,False,105.01246640901962,191.92163891489494,0.5798364997986256,0.6919391814663296,0.8853048130318478,9.633455179698199
50000,7,0.45,185,0.8091729262254315,False,101.96570462585771,185.58587571522364,0.5526419720594391,0.7189791773904739,0.9069977295776274,9.302310511011546
