S_wing,alt_m,MN,E_case,CDS_m2,wave_m2,E_WD,E_geom,k,CLa,CD0
0.2,0.0,1.05,nom,0.00835523771085753,0.0038838627008403,1.8563466408126414,1.8563466408126414,0.32257584717113225,3.100046109371239,0.04177618855428765
0.2,0.0,1.05,lo,0.0074004657636687786,0.002929090753651548,1.4,1.8563466408126414,0.32257584717113225,3.100046109371239,0.037002328818343894
0.2,0.0,1.05,hi,0.010747998053556262,0.006276623043539032,3.0,1.8563466408126414,0.32257584717113225,3.100046109371239,0.053739990267781305
0.2,2500.0,0.05,nom,0.00742963390095378,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.6232621206207116,0.037148169504768895
0.2,2500.0,0.05,lo,0.00742963390095378,0.0,1.4,1.8563466408126414,0.14370182170072113,2.6232621206207116,0.037148169504768895
0.2,2500.0,0.05,hi,0.00742963390095378,0.0,3.0,1.8563466408126414,0.14370182170072113,2.6232621206207116,0.037148169504768895
0.2,2500.0,0.2,nom,0.006116158504996387,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.6372024330239503,0.030580792524981932
0.2,2500.0,0.2,lo,0.006116158504996387,0.0,1.4,1.8563466408126414,0.14370182170072113,2.6372024330239503,0.030580792524981932
0.2,2500.0,0.2,hi,0.006116158504996387,0.0,3.0,1.8563466408126414,0.14370182170072113,2.6372024330239503,0.030580792524981932
0.2,2500.0,0.4,nom,0.005557052439751518,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.6835672348112802,0.02778526219875759
0.2,2500.0,0.4,lo,0.005557052439751518,0.0,1.4,1.8563466408126414,0.14370182170072113,2.6835672348112802,0.02778526219875759
0.2,2500.0,0.4,hi,0.005557052439751518,0.0,3.0,1.8563466408126414,0.14370182170072113,2.6835672348112802,0.02778526219875759
0.2,2500.0,0.6,nom,0.00521087875858499,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.767455432708234,0.02605439379292495
0.2,2500.0,0.6,lo,0.00521087875858499,0.0,1.4,1.8563466408126414,0.14370182170072113,2.767455432708234,0.02605439379292495
0.2,2500.0,0.6,hi,0.00521087875858499,0.0,3.0,1.8563466408126414,0.14370182170072113,2.767455432708234,0.02605439379292495
0.2,2500.0,0.7,nom,0.005065128346213332,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.827078406349009,0.025325641731066658
0.2,2500.0,0.7,lo,0.005065128346213332,0.0,1.4,1.8563466408126414,0.14370182170072113,2.827078406349009,0.025325641731066658
0.2,2500.0,0.7,hi,0.005065128346213332,0.0,3.0,1.8563466408126414,0.14370182170072113,2.827078406349009,0.025325641731066658
0.2,2500.0,0.8,nom,0.004929044267959563,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.9017147294469035,0.024645221339797813
