A_over_r2,liner_factor,span_mm,shaft_od_mm,id_ratio,journal_mm,DN_MCS,bend1_undamped_rpm,bend1_over_MCS,damped_crits,api_ok,m_rotor,Ip,imp_mass,imp_disc_vm_MCS,imp_burst_MCS
0.3,0.7,170.62727618864488,32.0,0.8,12.0,945000.0,127885.97172427345,1.6239488472923613,"[(8189, 2.69), (14546, 1.27), (128083, 29.82)]",True,2.062316487033022,0.002121017633326953,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,32.0,0.8,15.0,1181250.0,135742.53795573107,1.723714767691823,"[(8351, 2.44), (14470, 1.26)]",True,2.076588506875351,0.002121840504470988,1.2450280969656111,313.1979426964145,1.90187143788436
0.1,1.0,248.78056811249743,24.0,0.5,12.0,945000.0,50347.23345583094,0.6393299486454722,"[(9556, 2.13), (13744, 1.35), (50288, 58.84)]",False,2.180587591209419,0.001964577689099927,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,24.0,0.5,15.0,1181250.0,50930.82412848032,0.6467406238537183,"[(9619, 2.03), (13676, 1.34), (50841, 58.97)]",False,2.1948735497814114,0.0019654013638988437,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,24.0,0.8,12.0,945000.0,58712.97896737041,0.745561637680894,"[(9783, 2.14), (14866, 1.23), (58740, 73.68)]",False,1.8488431671847791,0.0019433195064084284,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,24.0,0.8,15.0,1181250.0,59979.52433943843,0.7616447535166785,"[(9855, 2.03), (14767, 1.22), (59979, 63.13)]",False,1.8631291257567721,0.0019441431812073449,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,28.0,0.5,12.0,945000.0,58016.767780368544,0.7367208607030926,"[(9389, 2.14), (13123, 1.42), (57964, 58.79)]",False,2.410965663448752,0.002013533029450785,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,28.0,0.5,15.0,1181250.0,59300.406345611795,0.7530210329601498,"[(9446, 2.04), (13065, 1.41), (59223, 58.5)]",False,2.4252516220207445,0.0020143567042497017,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,28.0,0.8,12.0,945000.0,65981.84093067297,0.8378646467387044,"[(9727, 2.11), (14454, 1.27), (66001, 92.63)]",False,1.959424641859659,0.0019741496215477847,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,28.0,0.8,15.0,1181250.0,67149.04962569378,0.8526863444532543,"[(9795, 2.0), (14368, 1.26), (67142, 89.43)]",False,1.9737106004316518,0.001974973296346701,1.0922192439059497,382.2354218270377,1.8739228847448157
