layout,k,t_drum_mm,shaft_od_mm,journal_od_mm,crits_rpm,bearing_energy,rigid_rpm,first_bending_rpm,rigid_ok,bending_ok,ok,m_rotor_kg,Ip_kgm2,R_front_N_1g,R_rear_N_1g,span_m,gyro_bearing_load_N_per_radps
A,19000000.0,0.3212660060006173,32.0,16.0,"[16770, 39251, 72334, 126928]","[np.float64(0.1), np.float64(0.87), np.float64(0.14), np.float64(0.23)]",[39251],16770.07487628248,False,False,False,2.174042187109542,0.0010893840457192217,5.98099052326312,15.346363332281484,0.40897010842267867,22.315573319324784
A,19000000.0,1.0,16.0,16.0,"[12340, 40117, 67228, 108011]","[np.float64(0.02), np.float64(0.79), np.float64(0.25), np.float64(0.35)]",[40117],12339.96384073823,False,False,False,1.4690229820846972,0.0009886905307985201,4.562981003149746,9.848134451101133,0.40897010842267867,20.252909079084393
A,19000000.0,1.0,20.0,16.0,"[16263, 41383, 69891, 121514]","[np.float64(0.05), np.float64(0.86), np.float64(0.27), np.float64(0.27)]",[41383],16263.316993170265,False,False,False,1.6108651939985241,0.0010038088884069477,4.90657865063131,10.896008902494213,0.40897010842267867,20.56260226672044
A,19000000.0,1.0,24.0,16.0,"[19242, 41456, 72892, 133514]","[np.float64(0.1), np.float64(0.87), np.float64(0.28), np.float64(0.24)]",[41456],19242.045162256472,False,False,False,1.7927638763457683,0.0010315484374649026,5.374054886288382,12.212958740663604,0.40897010842267867,21.130835245053724
A,19000000.0,1.0,28.0,16.0,"[21070, 41113, 76864, 142485]","[np.float64(0.16), np.float64(0.85), np.float64(0.28), np.float64(0.24)]",[41113],21069.69005516325,False,False,False,2.0077350463925114,0.0010772298110998356,5.9265268011558305,13.769354003954707,0.40897010842267867,22.06659894260705
A,19000000.0,1.0,32.0,16.0,"[21864, 40585, 81613, 148824]","[np.float64(0.22), np.float64(0.81), np.float64(0.27), np.float64(0.24)]",[40585],21863.783301666062,False,False,False,2.255778704138753,0.0011473021444131488,6.563994395233664,15.565194692367509,0.40897010842267867,23.502001175505576
A,19000000.0,2.0,16.0,16.0,"[11918, 40111, 69262, 107143]","[np.float64(0.03), np.float64(0.79), np.float64(0.3), np.float64(0.4)]",[40111],11917.645033785579,False,False,False,1.5894479464327853,0.0010741909332348482,5.421938823333814,10.170545531171811,0.40897010842267867,22.00434880954233
A,19000000.0,2.0,20.0,16.0,"[16123, 41382, 72244, 121762]","[np.float64(0.06), np.float64(0.86), np.float64(0.37), np.float64(0.26)]",[41382],16122.893057514386,False,False,False,1.7312901583466123,0.001089309290843276,5.765536470815375,11.21841998256489,0.40897010842267867,22.31404199717838
A,19000000.0,2.0,24.0,16.0,"[19625, 41537, 74762, 136781]","[np.float64(0.12), np.float64(0.86), np.float64(0.39), np.float64(0.2)]",[41537],19624.536539905686,False,False,False,1.9131888406938562,0.0011170488399012306,6.233012706472447,12.535369820734282,0.40897010842267867,22.882274975511667
A,19000000.0,2.0,28.0,16.0,"[22067, 41425, 77904, 149489]","[np.float64(0.2), np.float64(0.83), np.float64(0.39), np.float64(0.18)]",[41425],22066.511402712244,False,False,False,2.1281600107406,0.0011627302135361636,6.785484621339899,14.091765084025385,0.40897010842267867,23.818038673064986
A,19000000.0,2.0,32.0,16.0,"[23385, 41273, 81910, 159012]","[np.float64(0.29), np.float64(0.78), np.float64(0.37), np.float64(0.17)]",[41273],23385.283433516568,False,False,False,2.3762036684868413,0.001232802546849477,7.422952215417727,15.887605772438189,0.40897010842267867,25.253440905963522
A,19000000.0,3.0,16.0,16.0,"[11429, 40084, 68939, 104552]","[np.float64(0.03), np.float64(0.79), np.float64(0.35), np.float64(0.4)]",[40084],11428.569959260587,False,False,False,1.7098729107808737,0.0011600526105642207,6.280896643517883,10.492956611242489,0.40897010842267867,23.763189104012422
A,19000000.0,3.0,20.0,16.0,"[15670, 41380, 71596, 119894]","[np.float64(0.06), np.float64(0.85), np.float64(0.43), np.float64(0.24)]",[41380],15669.973007203362,False,False,False,1.8517151226947006,0.0011751709681726485,6.624494290999447,11.540831062635569,0.40897010842267867,24.072882291648476
A,19000000.0,3.0,24.0,16.0,"[19340, 41556, 73732, 136408]","[np.float64(0.12), np.float64(0.86), np.float64(0.45), np.float64(0.18)]",[41556],19339.613102175706,False,False,False,2.0336138050419446,0.0012029105172306031,7.091970526656519,12.85778090080496,0.40897010842267867,24.641115269981757
A,19000000.0,3.0,28.0,16.0,"[22033, 41499, 76452, 151155]","[np.float64(0.21), np.float64(0.83), np.float64(0.44), np.float64(0.15)]",[41499],22033.162621595635,False,False,False,2.248584975088688,0.0012485918908655361,7.644442441523966,14.41417616409606,0.40897010842267867,25.576878967535077
A,19000000.0,3.0,32.0,16.0,"[23606, 41462, 80076]","[np.float64(0.32), np.float64(0.78), np.float64(0.41)]",[41462],23606.157673799145,False,False,False,2.4966286328349296,0.0013186642241788495,8.281910035601797,16.210016852508865,0.40897010842267867,27.012281200433616
