rpm,N,hub_tip,Cx,feasible,eta_is_tool,DF,deHaller,M_rel_tip,h_last,r_tip_mm,length_mm,D_casing_mm,n_blades
75000,8,0.5,200,True,0.7983514105715378,0.3466571368148546,0.7890181094935855,1.2013426898450994,0.010296714294428619,55.719300421582794,231.72653617513598,116.9386008431656,500
75000,8,0.55,170,True,0.7854686273714768,0.3457843669750654,0.7767525266398129,1.2133158354478484,0.010568916885899435,61.545745092814606,236.86716626299545,128.5914901856292,554
75000,8,0.55,185,True,0.7866507962754685,0.3367023718207425,0.7870881936560086,1.2089681358200575,0.010099501831752233,59.55964155227132,227.13180842473344,124.61928310454265,560
75000,8,0.55,200,False,0.7842875661304753,0.32539833621821646,0.7986342786886028,1.2125354119743643,0.00969177914399641,57.912451480556285,218.91088362369575,121.32490296111257,566
80000,5,0.4,170,False,0.8454850375677269,0.5741135887009386,0.6410386368212516,1.2876802977878599,0.013033290854152849,55.471144292592975,177.46629236663972,116.44228858518596,237
80000,5,0.4,185,False,0.8430060308345193,0.5550224180347287,0.6617559144496239,1.2844934592080082,0.012477325677049789,53.70113113032849,170.588909917201,112.90226226065698,241
80000,5,0.4,200,False,0.8388240024269442,0.533856880035853,0.6830283936383827,1.2887080379421512,0.011992689984129681,52.23236392668511,164.75604220873777,109.96472785337022,242
80000,5,0.45,170,False,0.8399067621944439,0.5448292106085904,0.6545503727437219,1.2917918795809151,0.012339660948686035,57.07178128485423,168.45734417916336,119.64356256970846,266
80000,5,0.45,185,False,0.8384086491138044,0.5286671978066659,0.6726242534790603,1.2877430422367397,0.011806504689284791,55.24122164390641,161.8012670245312,115.98244328781281,270
80000,5,0.45,200,False,0.8349496204054286,0.5099896548241327,0.6917456982227429,1.2912783801536372,0.011342568505589845,53.72265140384005,156.1679798550741,112.94530280768011,274
80000,5,0.5,170,False,0.8317763965456548,0.5132000974998259,0.6702691822054472,1.300019214856438,0.011661960531256108,59.0138684157324,159.7357034952788,123.5277368314648,299
80000,5,0.5,185,False,0.8315050946186361,0.5000835649905406,0.6855620738547492,1.294843203873432,0.011150709469163245,57.11147209510126,153.28467858916096,119.72294419020253,302
80000,5,0.5,200,False,0.8289301777880488,0.48407124425838766,0.7023445071608535,1.2974835896454946,0.010706758883992654,55.53389788485134,147.83879043189563,116.5677957697027,305
80000,5,0.55,170,False,0.8201445207911607,0.4790450690135697,0.6883226609418421,1.3135796168452767,0.010997668606725033,61.38116469217482,151.2859194592454,128.26232938434964,337
80000,5,0.55,185,False,0.8214826199817388,0.4690366859385221,0.7007435477230312,1.306930298963026,0.010507314826094391,59.39245442645676,145.01962060131964,124.28490885291352,343
80000,5,0.55,200,False,0.8200443421753304,0.4558340120512241,0.7150261586746589,1.3083955033865768,0.010082575751622039,57.74408549020296,139.74608274272995,120.98817098040593,346
80000,6,0.4,170,False,0.8385589514066983,0.49939087422733375,0.6866468699037916,1.2686523750799223,0.012842748956136602,55.64210206303813,211.81771856456047,116.78420412607626,287
80000,6,0.4,185,False,0.8361518615881904,0.4824554049067179,0.7047955794899565,1.264533607150507,0.012290593483876802,53.85852541588448,203.5186953115465,113.21705083176896,288
80000,6,0.4,200,True,0.831784532512081,0.463532152115557,0.7235739611612116,1.268029133949833,0.011809217266760458,52.37857383447521,196.477675199724,110.25714766895042,291
80000,6,0.45,170,False,0.8306087334618778,0.4721855654374095,0.6997903736635471,1.2739132600356036,0.012165194162049309,57.25070161849595,201.21042036693558,120.0014032369919,322
80000,6,0.45,185,False,0.8293367754296106,0.45794812972070154,0.715525199681037,1.2689607489767118,0.011635932225717557,55.40746088345687,193.1844532647168,116.31492176691374,324
80000,6,0.45,200,True,0.825792274580066,0.4413618277701432,0.7323002030085322,1.2718022613374176,0.011175315224126126,53.8785374662541,186.38975772210077,113.2570749325082,328
80000,6,0.5,170,False,0.8196938923604908,0.44320447523511486,0.7146557629092183,1.2833498267308343,0.011502202514165241,59.19891405523925,190.92202459916754,123.8978281104785,359
80000,6,0.5,185,True,0.8198749400330089,0.4317263632722398,0.7278921149628979,1.2772956799360686,0.010994908646257254,57.284549226837335,183.14856545829133,120.06909845367468,368
80000,6,0.5,200,True,0.8173660265086945,0.41759636110601983,0.7425305594022881,1.2792649837995946,0.010554317597206528,55.69730419683057,176.58462501844565,116.89460839366114,369
80000,6,0.55,170,True,0.8046541047198045,0.4122933048231669,0.731350332896014,1.298198213223072,0.010851402514791886,61.57089949996471,180.93717283433085,128.64179899992942,408
80000,6,0.55,185,True,0.80677880530927,0.4035926363468747,0.742040502935586,1.2906926866912676,0.010365054242088126,59.5707592201577,173.39090981321237,124.64151844031541,414
80000,6,0.55,200,False,0.805634492176416,0.39201098084130953,0.7544314462556347,1.2915063426932465,0.009943701432858845,57.913253566146274,167.03883111294905,121.32650713229255,417
80000,7,0.4,170,True,0.8291035935998203,0.4412280484846157,0.7225563960827232,1.2557116794913321,0.01271545197070352,55.78155598513161,246.32253058837333,117.06311197026322,337
